"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13383","Add and update colorSizeCode","chromium","Wed Jan 08 15:37:16 IST 2025","passed","Wed Jan 08 15:37:29 IST 2025","","fullTest.spec.js","",""
"","6020","Add and update PoPriority","chromium","Wed Jan 08 15:37:09 IST 2025","passed","Wed Jan 08 15:37:15 IST 2025","","fullTest.spec.js","",""
